citing_id,cited_id
5188,1376
5800,1376
1373,1376
1572,1376
325,1376
1383,1376
5328,1376
5463,1376
2590,1376
2446,1376
1248,1376
2086,1376
1982,1376
240,1376
5262,1376
1267,1376
1218,1376
1142,1377
112,1378
1858,1378
164,1378
1613,1378
5276,1378
1276,1378
1614,1378
1526,1378
5100,1378
2586,1378
1292,1378
2169,1378
1634,1378
5118,1378
281,1378
2549,1378
1739,1378
1263,1378
5166,1378
92,1378
2236,1378
2470,1378
1423,1379
1435,1379
1399,1379
1501,1379
57,1381
1040,1381
1423,1381
1385,1381
1486,1381
2108,1381
4551,1381
1489,1381
1307,1381
1356,1381
1363,1381
2090,1381
1414,1381
2092,1382
2266,1383
2271,1383
57,1385
1435,1385
1204,1385
1307,1385
4894,1385
2090,1385
1414,1385
1938,1387
1382,1389
2165,1389
1486,1389
141,1389
1738,1389
2365,1389
2136,1389
2424,1389
1615,1390
1426,1390
4446,1390
663,1390
1720,1390
4452,1390
2171,1390
1975,1390
1638,1390
1996,1391
2161,1394
753,1394
1874,1394
1156,1394
2026,1394
633,1394
636,1394
12,1395
1798,1395
1677,1396
4220,1396
2021,1396
1364,1396
2383,1397
1575,1397
1631,1397
5600,1397
5601,1397
5783,1397
2132,1397
1411,1397
3847,1398
2497,1398
2358,1398
1600,1398
1944,1398
2226,1399
2556,1399
1993,1399
2317,1400
2041,1400
1943,1400
1301,348
1301,5836
1301,250
1301,2381
1301,153
1301,6
1301,1757
1301,2197
1301,1466
1301,5957
1301,5960
1301,1497
1301,195
1302,298
1302,4062
1302,5837
1302,3875
1302,106
1302,1853
1302,3969
1302,2431
1302,254
1302,4156
1302,17
1302,1858
1302,4487
1302,2437
1302,3016
1302,2388
1302,28
1302,1764
1302,1576
1302,4582
1302,1770
1302,1626
1302,1628
1302,1725
1302,1677
1302,2017
1302,2119
1302,1540
1302,1259
1302,2038
1302,1989
1303,3736
1303,2243
1303,1658
1303,2671
1303,161
1303,2201
1303,2000
1303,2681
1303,1146
1304,4062
1304,4717
1304,4309
1304,1643
1305,1971
1305,1536
1306,2290
1306,1417
1306,2049
1306,1232
1306,2387
1306,1571
1306,1668
1306,1580
1306,1776
1306,1978
1306,1548
1306,2181
1307,219
1307,72
1307,2104
1307,73
1307,1423
1307,2105
1307,1625
1307,1485
1307,2108
1307,1489
1307,1877
1307,1212
1307,1449
1308,1877
1308,816
1308,1501
1309,2435
1310,2290
1310,1417
1310,2049
1310,161
1310,1232
1310,2387
1310,1473
1310,1571
1310,1776
1310,2013
1310,1978
1311,2382
1311,1182
1311,1136
1311,2293
1311,2152
1311,5504
1311,2447
1311,2078
1311,1780
1313,1676
1313,3765
1316,4763
1316,1672
1316,1536
1322,298
1322,4201
1322,5090
1322,4110
1322,4480
1322,4065
1322,4577
1322,4763
1322,4385
1322,111
1322,18
1322,259
1322,19
1322,2199
1322,353
1322,5452
1322,317
1322,5629
1322,4440
1322,5536
1322,5411
1322,4029
1322,4500
1322,4548
