Source,Target,Type,Id,Label,Weight
107,4624,Directed,580103,,1
107,4603,Directed,580102,,1
107,4600,Directed,580101,,5
107,4596,Directed,580100,,1
107,4591,Directed,580099,,1
107,4589,Directed,580098,,1
107,4576,Directed,580097,,4
107,4571,Directed,580096,,1
107,4562,Directed,580095,,1
107,4559,Directed,580094,,1
107,4558,Directed,580093,,6
107,4546,Directed,580091,,2
107,4544,Directed,580090,,2
107,4541,Directed,580089,,1
107,4538,Directed,580088,,1
107,4530,Directed,580087,,4
107,4528,Directed,580086,,1
107,4514,Directed,580085,,1
107,4512,Directed,580084,,1
107,4508,Directed,580083,,2
107,4501,Directed,580082,,2
107,4499,Directed,580081,,1
107,4491,Directed,580080,,2
107,4488,Directed,580079,,1
107,4483,Directed,580078,,2
107,4468,Directed,580076,,1
107,4463,Directed,580075,,1
107,4447,Directed,580074,,1
107,4441,Directed,580072,,1
107,4439,Directed,580071,,7
107,4437,Directed,580070,,1
107,4436,Directed,580069,,1
107,4433,Directed,580068,,1
107,4431,Directed,580067,,1
107,4430,Directed,580066,,15
107,4424,Directed,580065,,1
107,4418,Directed,580063,,1
107,4407,Directed,580062,,2
107,4405,Directed,580061,,4
107,4402,Directed,580060,,1
107,4401,Directed,580059,,1
107,4390,Directed,580058,,11
107,4382,Directed,580056,,1
107,4361,Directed,580054,,1
107,4346,Directed,580053,,2
107,4343,Directed,580052,,3
107,4320,Directed,580051,,1
107,4307,Directed,580049,,1
107,4305,Directed,580048,,3
107,4304,Directed,580047,,1
107,4303,Directed,580046,,2
107,4302,Directed,580045,,2
107,4301,Directed,580044,,1
107,4296,Directed,580043,,2
107,4295,Directed,580042,,2
107,4293,Directed,580041,,1
107,4269,Directed,580040,,2
107,4257,Directed,580039,,2
107,4255,Directed,580038,,2
107,4254,Directed,580037,,4
107,4251,Directed,580036,,2
107,4249,Directed,580035,,2
107,4245,Directed,580033,,4
107,4231,Directed,580032,,1
107,4229,Directed,580031,,1
107,4215,Directed,580030,,1
107,4212,Directed,580029,,1
107,4206,Directed,580028,,3
107,4205,Directed,580027,,4
107,4203,Directed,580026,,4
107,4200,Directed,580025,,1
107,4191,Directed,580024,,1
107,4181,Directed,580023,,1
107,4169,Directed,580022,,3
107,4168,Directed,580021,,2
107,4165,Directed,580020,,1
107,4156,Directed,580019,,4
107,4140,Directed,580018,,1
107,4134,Directed,580017,,1
107,4128,Directed,580015,,2
107,4126,Directed,580014,,1
107,4125,Directed,580013,,2
107,4124,Directed,580012,,1
107,4121,Directed,580011,,1
107,4116,Directed,580010,,1
107,4115,Directed,580009,,7
107,4112,Directed,580008,,1
107,4111,Directed,580007,,3
107,4109,Directed,580005,,2
107,4108,Directed,580004,,3
107,4105,Directed,580003,,1
107,4098,Directed,580002,,1
107,4068,Directed,580000,,1
107,4066,Directed,579999,,1
107,4063,Directed,579998,,1
107,4062,Directed,579997,,4
107,4061,Directed,579996,,1
107,4056,Directed,579995,,1
107,4042,Directed,579994,,1
107,4028,Directed,579993,,1
107,4023,Directed,579992,,1
107,4018,Directed,579991,,2
107,4017,Directed,579990,,1
107,4006,Directed,579989,,1
107,4004,Directed,579988,,3
107,4002,Directed,579987,,2
107,3999,Directed,579986,,1
107,3994,Directed,579985,,1
107,3988,Directed,579984,,1
